x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"1709,57","996,886","294,216","46,4177","-0,22602","-1,34191","-1,1158899999999998","1,0644007703868228","11,3171","12,4247","0,986266","0,910748","1709,57","1667,114",P01,P01_V + P01_B,"11,33437149609375","0,5379062713623051"
"1217,34","1700,86","294,384","46,4858","-0,211361","-1,30864","-1,097279","0,9620810776643888","10,923","12,055","0,999935","0,914836","1217,34","963,1400000000001",P01,P01_V + P01_B,"11,34903049609375","0,556517271362305"
"1137,34","1178,93","294,267","46,5046","-0,189356","-1,31629","-1,126934","1,0026464980241516","11,4175","12,3546","0,937595","0,885223","1137,34","1485,07",P01,P01_V + P01_B,"11,37103549609375","0,5268622713623048"
"2297,44","1731,26","294,372","46,3173","-0,156908","-1,19247","-1,035562","1,0716809226632449","11,1805","11,7481","0,924843","0,915294","2297,44","932,74",P01,P01_V + P01_B,"11,40348349609375","0,6182342713623048"
"1720,06","1591,49","294,35","46,4089","-0,129301","-1,2101","-1,0807989999999998","1,0716809226632449","11,7883","12,3687","0,957498","0,93059","1720,06","1072,51",P01,P01_V + P01_B,"11,43109049609375","0,572997271362305"
"2328,82","1998,67","294,431","46,3091","-0,0612405","-1,18446","-1,1232195","1,0125709851660072","10,7812","11,5559","0,923934","0,886759","2328,82","665,3299999999999",P01,P01_V + P01_B,"11,49915099609375","0,5305767713623049"
"1900,77","1414,93","294,307","46,3829","-0,0187733","-1,12616","-1,1073867","1,0781465577554654","11,6284","12,3216","0,971683","0,943821","1900,77","1249,07",P01,P01_V + P01_B,"11,54161819609375","0,546409571362305"
"3241,12","2507,0","294,529","46,1607","0,0204321","-0,549403","-0,5698350999999999","1,0159232254460029","9,923","10,5553","0,996081","0,978757","3241,12","157,0",P01,P01_V + P01_B,"11,580823596093751","1,083961171362305"
"1158,62","1576,8","294,357","46,4965","0,024084","-1,06867","-1,092754","0,9626006440887984","11,4395","11,9895","0,902072","0,895855","1158,62","1087,2",P01,P01_V + P01_B,"11,58447549609375","0,5610422713623049"
"2464,25","2607,16","294,566","46,2804","0,11662","-1,03427","-1,15089","0,9141662868428128","9,70391","10,1561","0,930594","0,999993","2464,25","56,840000000000146",P01,P01_V + P01_B,"11,67701149609375","0,5029062713623049"
"1663,54","1458,08","294,321","46,4193","0,127832","-0,998611","-1,126443","1,0677546534667903","11,8875","12,4489","0,959446","0,930677","1663,54","1205,92",P01,P01_V + P01_B,"11,68822349609375","0,5273532713623048"
"1320,39","896,618","294,2","46,4795","0,198049","-0,911981","-1,11003","1,0433484556944297","11,4395","12,4057","0,923057","0,87721","1320,39","1767,382",P01,P01_V + P01_B,"11,75844049609375","0,5437662713623048"
