panel,B_minus_V_gaia_approx,V_gaia_approx
P01,"1,7483762713623048","9,74797149609375"
P01,"1,2521462713623048","9,786341496093751"
P01,"1,716216271362305","9,82878149609375"
P01,"0,5905762713623048","10,12637149609375"
P01,"1,598216271362305","10,24576149609375"
P01,"1,0981562713623048","10,25238149609375"
P01,"1,204450271362305","10,57516749609375"
P01,"1,4678292713623051","10,66292849609375"
P01,"0,634324271362305","10,69527349609375"
P01,"1,760250271362305","10,74657349609375"
P01,"0,615746271362305","10,78596149609375"
P01,"1,1519562713623048","10,93204149609375"
P01,"1,460052271362305","10,94416949609375"
P01,"1,0861512713623047","10,95743649609375"
P01,"0,5605052713623049","11,01529249609375"
P01,"1,077827271362305","11,02194049609375"
P01,"0,5264722713623049","11,09938549609375"
P01,"1,117034271362305","11,12783749609375"
P01,"1,125984271362305","11,165006496093751"
P01,"1,133817271362305","11,21086249609375"
P01,"1,116558271362305","11,26434049609375"
P01,"0,6702472713623049","11,264500496093751"
P01,"1,176754271362305","11,26995849609375"
P01,"0,5121572713623048","11,30004049609375"
P01,"0,5379062713623051","11,33437149609375"
P01,"0,556517271362305","11,34903049609375"
P01,"0,5268622713623048","11,37103549609375"
P01,"0,6182342713623048","11,40348349609375"
P01,"0,572997271362305","11,43109049609375"
P01,"0,5305767713623049","11,49915099609375"
P01,"0,546409571362305","11,54161819609375"
P01,"1,083961171362305","11,580823596093751"
P01,"0,5610422713623049","11,58447549609375"
P01,"0,5029062713623049","11,67701149609375"
P01,"0,5273532713623048","11,68822349609375"
P01,"0,5437662713623048","11,75844049609375"
P01,"0,930597271362305","11,788577496093751"
P01,"0,545670271362305","11,80034949609375"
P01,"1,3823996713623048","11,85774549609375"
P01,"0,5090672713623048","11,88563749609375"
P01,"0,5100912713623049","11,92183949609375"
P01,"0,523464271362305","11,92232249609375"
P01,"0,5264152713623049","11,92883749609375"
P01,"0,573238271362305","11,93353149609375"
P01,"0,6384692713623048","11,936776496093751"
P01,"0,6186552713623048","11,97827849609375"
P01,"0,5307802713623049","11,98504449609375"
P01,"0,626826271362305","11,98611849609375"
P01,"0,5027202713623049","12,00525749609375"
P01,"0,5354522713623049","12,01659849609375"
P01,"0,532417271362305","12,07030649609375"
P01,"0,584909271362305","12,108155496093751"
P01,"0,6077872713623049","12,13875849609375"
P01,"0,8324242713623049","12,15172349609375"
P01,"0,941342271362305","12,15395049609375"
P01,"0,604048271362305","12,16174849609375"
P01,"0,8903152713623048","12,17516549609375"
P01,"1,310417271362305","12,18388049609375"
P01,"0,573686271362305","12,20136349609375"
P01,"0,6044522713623048","12,21300449609375"
P01,"0,5345832713623049","12,25556149609375"
P01,"1,048348271362305","12,270035496093751"
P01,"0,5891702713623048","12,29212749609375"
P01,"0,6741152713623049","12,29605849609375"
P01,"1,075991271362305","12,29995049609375"
P01,"0,954358971362305","12,30869149609375"
P01,"0,533958271362305","12,32495849609375"
P01,"0,9929132713623049","12,344455496093751"
P01,"0,8348656713623049","12,35613449609375"
P01,"0,7946615713623049","12,35648049609375"
P01,"0,7340742713623049","12,358091496093751"
P01,"1,2624402713623049","12,393243496093751"
P01,"0,7236058713623049","12,39470249609375"
P01,"0,8150389413623048","12,39788449609375"
P01,"0,5812232713623049","12,40492049609375"
P01,"0,7541476713623049","12,41714649609375"
P01,"0,601689271362305","12,417517496093751"
P01,"0,6479092713623049","12,43195449609375"
P01,"0,7947424713623049","12,43830949609375"
P01,"0,6655375713623048","12,45028949609375"
P01,"0,5476622713623049","12,46513949609375"
P01,"0,8285742713623049","12,494028496093751"
P01,"0,8457522713623049","12,49911949609375"
P01,"0,647077641362305","12,57276149609375"
P01,"0,5675946713623048","12,58211149609375"
P01,"0,5766471713623049","12,60004149609375"
P01,"0,6577348713623049","12,600251496093751"
P01,"1,118807271362305","12,61487149609375"
P01,"1,342211271362305","12,62724149609375"
P01,"0,586461121362305","12,63015149609375"
P01,"0,590482241362305","12,63157149609375"
P01,"0,6998672713623049","12,63639149609375"
P01,"0,7646132713623048","12,64588149609375"
P01,"0,732753271362305","12,65322149609375"
P01,"0,6208707713623047","12,66432149609375"
P01,"0,614981471362305","12,66746149609375"
P01,"0,8194722713623049","12,66959149609375"
P01,"1,317443271362305","12,66972149609375"
P01,"0,668504271362305","12,67283149609375"
P01,"0,7484112713623049","12,68099149609375"
P01,"0,9357102713623049","12,68123149609375"
P01,"0,8744132713623047","12,69774149609375"
P01,"0,6903972713623049","12,71561149609375"
P01,"0,8196062713623049","12,71788149609375"
P01,"0,6149232713623047","12,727501496093751"
P01,"0,763374271362305","12,72975149609375"
P01,"1,496096271362305","12,73632149609375"
P01,"1,067786271362305","12,76956149609375"
P01,"1,1447842713623049","12,77169149609375"
